"State Code","State","Sales","Transported","Total","Sales","Transported","Total"
"US"
"AL","Alabama             ","769900","0","769900","768568","0","768568"
"AK","Alaska              ","126416","0","126416","128605","0","128605"
"AZ","Arizona             ","1186788","6","1186794","1200777","6","1200783"
"AR","Arkansas            ","549034","0","549034","550108","0","550108"
"CA","California          ","10372973","408747","10781720","10539966","429631","10969597"
"US",""
"CO","Colorado            ","1690576","5","1690581","1712150","3","1712153"
"CT","Connecticut         ","521460","1198","522658","530309","1071","531380"
"DE","Delaware            ","158502","0","158502","161607","0","161607"
"DC","District of Columbia","129942","17935","147877","130798","17097","147895"
"FL","Florida             ","687766","15769","703535","685828","16153","701981"
"US",""
"GA","Georgia             ","319109","1440285","1759394","320228","1457330","1777558"
"HI","Hawaii              ","28919","0","28919","28952","0","28952"
"ID","Idaho               ","367394","0","367394","374557","0","374557"
"IL","Illinois            ","3570339","300331","3870670","3545188","331174","3876362"
"IN","Indiana             ","1618827","74440","1693267","1635444","68799","1704243"
"US",""
"IA","Iowa                ","900420","0","900420","908058","0","908058"
"KS","Kansas              ","860415","26","860441","861377","42","861419"
"KY","Kentucky            ","737290","24645","761935","742011","22935","764946"
"LA","Louisiana           ","903686","0","903686","888023","0","888023"
"ME","Maine               ","27047","0","27047","31011","0","31011"
"US",""
"MD","Maryland            ","858352","242940","1101292","875150","238192","1113342"
"MA","Massachusetts       ","1457055","4295","1461350","1471658","6414","1478072"
"MI","Michigan            ","2985315","207492","3192807","3016548","197362","3213910"
"MN","Minnesota           ","1472663","0","1472663","1496790","0","1496790"
"MS","Mississippi         ","440252","0","440252","439359","0","439359"
"US",""
"MO","Missouri            ","1363286","0","1363286","1369204","0","1369204"
"MT","Montana             ","265323","526","265849","269045","721","269766"
"NE","Nebraska            ","454725","67683","522408","457504","67661","525165"
"NV","Nevada              ","808970","0","808970","824039","0","824039"
"NH","New Hampshire       ","99146","0","99146","102567","0","102567"
"US",""
"NJ","New Jersey          ","2482281","222993","2705274","2559463","168877","2728340"
"NM","New Mexico          ","574496","82","574578","578691","78","578769"
"NY","New York            ","3503131","902908","4406039","3595365","843736","4439101"
"NC","North Carolina      ","1183152","0","1183152","1206870","0","1206870"
"ND","North Dakota        ","137972","0","137972","141465","0","141465"
"US",""
"OH","Ohio                ","664114","2619854","3283968","670508","2623502","3294010"
"OK","Oklahoma            ","937237","0","937237","941137","0","941137"
"OR","Oregon              ","707010","0","707010","717999","0","717999"
"PA","Pennsylvania        ","2366957","342855","2709812","2387893","347903","2735796"
"RI","Rhode Island        ","233786","0","233786","236323","0","236323"
"US",""
"SC","South Carolina      ","605644","0","605644","620555","0","620555"
"SD","South Dakota        ","179042","0","179042","182568","0","182568"
"TN","Tennessee           ","1106917","0","1106917","1124572","0","1124572"
"TX","Texas               ","4469220","62","4469282","4523911","66","4523977"
"UT","Utah                ","869052","0","869052","891917","0","891917"
"US",""
"VT","Vermont             ","42231","0","42231","43267","0","43267"
"VA","Virginia            ","1114224","69670","1183894","1124544","69794","1194338"
"WA","Washington          ","1118193","0","1118193","1133629","0","1133629"
"WV","West Virginia       ","338649","3","338652","337642","1","337643"
"WI","Wisconsin           ","1705907","0","1705907","1721640","0","1721640"
"WY","Wyoming             ","118396","42500","160896","116456","43469","159925"
"US",""
"US","Total","60189501","7007250","67196751","60921844","6952017","67873861"
