"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","24056","  ","29217","  ","33633","  ","1826","  ","893","  ","618","  ","659","  ","675","  ","875","  ","997","  ","1678","  ","2811","  ","5686","  ","7340","  ","32709","  ","3492","  ","2079","  ","956","  ","710","  ","705","  ","720","  ","765","  ","1111","  ","1694","  ","3858","  ","8542","  ","8077","  ","39006","  ","5373","  ","4457","  ","1124","  ","716","  ","748","  ","764","  ","804","  ","1345","  ","2192","  ","4611","  ","6522","  ","10350","  ",
"Alaska","14811","  ","15891","  ","15516","  ","2314","  ","1711","  ","828","  ","534","  ","479","  ","534","  ","864","  ","1233","  ","1886","  ","2068","  ","2359","  ","18574","  ","2683","  ","2317","  ","1429","  ","1040","  ","531","  ","499","  ","589","  ","883","  ","1473","  ","2174","  ","2212","  ","2743","  ","17734","  ","2218","  ","2070","  ","1768","  ","875","  ","538","  ","545","  ","678","  ","800","  ","1427","  ","2201","  ","2443","  ","2169","  ",
"Arizona","29874","  ","27842","  ","27506","  ","2295","  ","1421","  ","1134","  ","1021","  ","1072","  ","1314","  ","1750","  ","2402","  ","3064","  ","5763","  ","8638","  ","34507","  ","6665","  ","3133","  ","1345","  ","1080","  ","978","  ","1065","  ","1320","  ","1820","  ","2191","  ","3200","  ","4275","  ","7435","  ","32397","  ","4891","  ","2482","  ","1384","  ","1123","  ","1025","  ","1096","  ","1275","  ","1750","  ","2373","  ","3162","  ","4853","  ","6983","  ",
"Arkansas","20566","  ","28739","  ","32149","  ","1802","  ","813","  ","596","  ","529","  ","564","  ","665","  ","902","  ","1457","  ","2654","  ","4770","  ","5813","  ","32998","  ","4259","  ","2357","  ","794","  ","585","  ","556","  ","598","  ","666","  ","941","  ","1631","  ","4838","  ","7706","  ","8067","  ","38127","  ","5978","  ","2698","  ","921","  ","719","  ","684","  ","648","  ","808","  ","1265","  ","2463","  ","5222","  ","7527","  ","9194","  ",
"California","343344","  ","328116","  ","339613","  ","37269","  ","22105","  ","19803","  ","18507","  ","19421","  ","21129","  ","24628","  ","28039","  ","39564","  ","43489","  ","69390","  ","401172","  ","73056","  ","44392","  ","19235","  ","17032","  ","17399","  ","18932","  ","20889","  ","27358","  ","29622","  ","32140","  ","40902","  ","60216","  ","397489","  ","57876","  ","34011","  ","21140","  ","18456","  ","18834","  ","20299","  ","21690","  ","25224","  ","30716","  ","38959","  ","49235","  ","61049","  ",
"Colorado","100087","  ","99819","  ","111502","  ","11580","  ","5970","  ","3231","  ","2751","  ","2597","  ","2956","  ","6531","  ","10396","  ","14346","  ","17334","  ","22396","  ","122364","  ","22545","  ","16187","  ","5800","  ","2924","  ","2403","  ","2633","  ","3115","  ","7343","  ","8503","  ","12871","  ","16449","  ","21591","  ","132106","  ","20604","  ","18632","  ","6921","  ","3533","  ","2195","  ","3220","  ","3526","  ","6319","  ","9485","  ","15296","  ","19396","  ","22977","  ",
"Connecticut","39737","  ","46226","  ","44347","  ","4606","  ","2050","  ","1000","  ","933","  ","1075","  ","1365","  ","2385","  ","4229","  ","5562","  ","7947","  ","8584","  ","50975","  ","4749","  ","3846","  ","2101","  ","948","  ","970","  ","1089","  ","1330","  ","2112","  ","4766","  ","8749","  ","10279","  ","10035","  ","51193","  ","6846","  ","4670","  ","1776","  ","1046","  ","974","  ","1036","  ","1311","  ","2325","  ","4620","  ","8035","  ","8875","  ","9677","  ",
"Delaware","8245","  ","10211","  ","9672","  ","824","  ","292","  ","171","  ","160","  ","171","  ","231","  ","475","  ","823","  ","1135","  ","1879","  ","2084","  ","11260","  ","1049","  ","772","  ","406","  ","168","  ","178","  ","175","  ","194","  ","289","  ","754","  ","2076","  ","2533","  ","2665","  ","11316","  ","1644","  ","949","  ","292","  ","158","  ","161","  ","137","  ","196","  ","496","  ","825","  ","1858","  ","2138","  ","2463","  ",
"District of Columbia","9473","  ","12038","  ","12126","  ","964","  ","345","  ","207","  ","216","  ","246","  ","287","  ","501","  ","791","  ","1107","  ","2285","  ","2524","  ","13494","  ","1456","  ","994","  ","567","  ","276","  ","262","  ","264","  ","256","  ","456","  ","866","  ","2046","  ","2886","  ","3166","  ","14242","  ","2117","  ","1671","  ","550","  ","262","  ","258","  ","249","  ","293","  ","446","  ","893","  ","2087","  ","2508","  ","2908","  ",
"Florida","13516","  ","13618","  ","14426","  ","1127","  ","1000","  ","746","  ","713","  ","736","  ","680","  ","827","  ","980","  ","1550","  ","2384","  ","2772","  ","15044","  ","1425","  ","1204","  ","1070","  ","626","  ","628","  ","824","  ","859","  ","924","  ","1217","  ","1364","  ","2443","  ","2459","  ","16652","  ","2227","  ","1853","  ","965","  ","641","  ","729","  ","709","  ","593","  ","917","  ","1166","  ","1920","  ","1874","  ","3057","  ",
"Georgia","97438","  ","106062","  ","116158","  ","10235","  ","4850","  ","3821","  ","3854","  ","3670","  ","3801","  ","4678","  ","6530","  ","9664","  ","19992","  ","26344","  ","118025","  ","11963","  ","10264","  ","5883","  ","3800","  ","3751","  ","3663","  ","3679","  ","4354","  ","5538","  ","12196","  ","26722","  ","26213","  ","134482","  ","18324","  ","17292","  ","5533","  ","3577","  ","3540","  ","3537","  ","3617","  ","4458","  ","7145","  ","15232","  ","19418","  ","32809","  ",
"Hawaii","519","  ","525","  ","533","  ","47","  ","45","  ","49","  ","45","  ","45","  ","45","  ","44","  ","51","  ","49","  ","47","  ","52","  ","572","  ","47","  ","44","  ","44","  ","41","  ","43","  ","45","  ","46","  ","46","  ","54","  ","51","  ","52","  ","60","  ","583","  ","50","  ","44","  ","43","  ","43","  ","44","  ","48","  ","48","  ","49","  ","53","  ","50","  ","53","  ","57","  ",
"Idaho","18743","  ","18641","  ","20635","  ","2626","  ","1437","  ","681","  ","492","  ","518","  ","580","  ","881","  ","1290","  ","2532","  ","3241","  ","4466","  ","23482","  ","4842","  ","3704","  ","1017","  ","652","  ","367","  ","494","  ","521","  ","900","  ","1736","  ","2203","  ","2701","  ","4346","  ","24616","  ","3981","  ","3737","  ","1334","  ","628","  ","541","  ","552","  ","617","  ","870","  ","1787","  ","2643","  ","3469","  ","4456","  ",
"Illinois","307664","  ","349900","  ","416482","  ","32672","  ","14594","  ","7759","  ","7419","  ","7782","  ","9472","  ","15751","  ","30185","  ","41109","  ","62368","  ","78554","  ","400876","  ","50976","  ","36127","  ","18138","  ","8118","  ","7790","  ","7959","  ","9419","  ","13194","  ","26783","  ","54278","  ","85540","  ","82554","  ","479465","  ","62983","  ","57400","  ","22380","  ","10591","  ","8238","  ","8857","  ","9640","  ","16225","  ","30870","  ","66611","  ","84515","  ","101155","  ",
"Indiana","100624","  ","116252","  ","134244","  ","11533","  ","4363","  ","2382","  ","2240","  ","2063","  ","2265","  ","4827","  ","9496","  ","11848","  ","21727","  ","27880","  ","133045","  ","16792","  ","11707","  ","5768","  ","2419","  ","2008","  ","2172","  ","2309","  ","3713","  ","8643","  ","18560","  ","29649","  ","29303","  ","156639","  ","22394","  ","19910","  ","7619","  ","2925","  ","2417","  ","2243","  ","1996","  ","4250","  ","7911","  ","22950","  ","27362","  ","34662","  ",
"Iowa","48091","  ","53681","  ","65965","  ","4563","  ","1996","  ","1317","  ","1042","  ","1167","  ","1173","  ","2228","  ","4620","  ","6723","  ","10123","  ","13139","  ","62739","  ","9058","  ","5499","  ","2408","  ","1280","  ","1052","  ","1189","  ","1394","  ","2157","  ","4112","  ","7953","  ","13543","  ","13094","  ","76574","  ","10609","  ","8650","  ","3224","  ","1510","  ","1098","  ","1192","  ","1447","  ","2853","  ","5244","  ","10692","  ","13717","  ","16339","  ",
"Kansas","43698","  ","48624","  ","59787","  ","4929","  ","1598","  ","1182","  ","1030","  ","1118","  ","1426","  ","2331","  ","2631","  ","5285","  ","8935","  ","13233","  ","57408","  ","8784","  ","5493","  ","2143","  ","1569","  ","1418","  ","1132","  ","1357","  ","1823","  ","2487","  ","7202","  ","11373","  ","12628","  ","71115","  ","11328","  ","8023","  ","2268","  ","1274","  ","1127","  ","1190","  ","1285","  ","2055","  ","4506","  ","9658","  ","13168","  ","15232","  ",
"Kentucky","36804","  ","43572","  ","49073","  ","3929","  ","1305","  ","778","  ","780","  ","725","  ","817","  ","1509","  ","2673","  ","4737","  ","8694","  ","10856","  ","49426","  ","5853","  ","4167","  ","1640","  ","885","  ","889","  ","899","  ","900","  ","1217","  ","2309","  ","7078","  ","12025","  ","11564","  ","57590","  ","8517","  ","6898","  ","1856","  ","970","  ","806","  ","779","  ","904","  ","1563","  ","3189","  ","7890","  ","10591","  ","13627","  ",
"Louisiana","28245","  ","32367","  ","38813","  ","2123","  ","1463","  ","1232","  ","1330","  ","1270","  ","1321","  ","1579","  ","2028","  ","2782","  ","5204","  ","7912","  ","36046","  ","3679","  ","2331","  ","1503","  ","1326","  ","1178","  ","1266","  ","1260","  ","1642","  ","1842","  ","4242","  ","7405","  ","8372","  ","44518","  ","5705","  ","3825","  ","1691","  ","1358","  ","1294","  ","1226","  ","1263","  ","1972","  ","2576","  ","5482","  ","7356","  ","10769","  ",
"Maine","2174","  ","2384","  ","2008","  ","231","  ","134","  ","58","  ","44","  ","52","  ","63","  ","143","  ","258","  ","342","  ","401","  ","450","  ","2700","  ","315","  ","246","  ","145","  ","48","  ","48","  ","49","  ","71","  ","95","  ","224","  ","404","  ","529","  ","526","  ","2357","  ","350","  ","249","  ","105","  ","54","  ","41","  ","41","  ","55","  ","112","  ","206","  ","363","  ","361","  ","421","  ",
"Maryland","62282","  ","74482","  ","77285","  ","6773","  ","2638","  ","1421","  ","1339","  ","1479","  ","1778","  ","3331","  ","5405","  ","7528","  ","13550","  ","17039","  ","82858","  ","8376","  ","6235","  ","3881","  ","1542","  ","1580","  ","1657","  ","1783","  ","2200","  ","4975","  ","12967","  ","19141","  ","18521","  ","90542","  ","13257","  ","9749","  ","3078","  ","1788","  ","1502","  ","1599","  ","1724","  ","3588","  ","5748","  ","13669","  ","15335","  ","19505","  ",
"Massachusetts","95913","  ","114004","  ","110008","  ","10970","  ","5604","  ","2520","  ","2356","  ","2519","  ","2893","  ","5800","  ","10379","  ","14183","  ","18657","  ","20032","  ","126662","  ","12658","  ","9466","  ","5833","  ","2486","  ","2463","  ","2641","  ","3330","  ","4364","  ","10124","  ","20986","  ","26240","  ","26072","  ","126902","  ","16894","  ","11289","  ","4933","  ","2927","  ","2411","  ","2618","  ","2815","  ","6548","  ","12741","  ","19893","  ","19678","  ","24156","  ",
"Michigan","246365","  ","276623","  ","308459","  ","28104","  ","15258","  ","6808","  ","5012","  ","5559","  ","6159","  ","12489","  ","27859","  ","33905","  ","48755","  ","56459","  ","312098","  ","35475","  ","28390","  ","16422","  ","6006","  ","5872","  ","5572","  ","6616","  ","10476","  ","22109","  ","42465","  ","68402","  ","64293","  ","354713","  ","46254","  ","44020","  ","19597","  ","8409","  ","5627","  ","6334","  ","6373","  ","11987","  ","23659","  ","51772","  ","58850","  ","71831","  ",
"Minnesota","0","NA","99751","  ","125718","  ","10337","  ","5652","  ","2717","  ","2525","  ","2281","  ","2722","  ","3803","  ","9314","  ","11912","  ","0","NA","24767","  ","117586","  ","17835","  ","10603","  ","5140","  ","2331","  ","2553","  ","2292","  ","2435","  ","3958","  ","8177","  ","15010","  ","23783","  ","23468","  ","146647","  ","20929","  ","17807","  ","7186","  ","2982","  ","2329","  ","2068","  ","2241","  ","5522","  ","10881","  ","19467","  ","25539","  ","29694","  ",
"Mississippi","0","NA","20800","  ","24531","  ","1380","  ","695","  ","571","  ","553","  ","567","  ","0","NA","815","  ","0","NA","1730","  ","3307","  ","5159","  ","23248","  ","2448","  ","1833","  ","833","  ","728","  ","589","  ","620","  ","652","  ","718","  ","1060","  ","3058","  ","4909","  ","5799","  ","28261","  ","3730","  ","2811","  ","987","  ","558","  ","589","  ","606","  ","627","  ","877","  ","1823","  ","3748","  ","5290","  ","6617","  ",
"Missouri","71090","  ","82562","  ","98961","  ","7285","  ","2607","  ","1663","  ","1739","  ","1763","  ","1942","  ","2934","  ","5008","  ","8781","  ","15238","  ","22130","  ","95503","  ","12940","  ","7731","  ","3096","  ","1646","  ","1729","  ","1595","  ","1807","  ","2514","  ","6206","  ","15779","  ","20729","  ","19731","  ","115512","  ","16552","  ","12508","  ","3865","  ","2106","  ","1729","  ","1891","  ","2007","  ","3221","  ","8183","  ","16125","  ","21410","  ","25916","  ",
"Montana","15480","  ","15533","  ","18112","  ","1980","  ","1434","  ","655","  ","420","  ","415","  ","534","  ","969","  ","1336","  ","2084","  ","2377","  ","3276","  ","18796","  ","3263","  ","2636","  ","1042","  ","494","  ","379","  ","382","  ","401","  ","903","  ","1448","  ","1947","  ","2604","  ","3296","  ","21379","  ","3267","  ","2919","  ","1104","  ","618","  ","362","  ","360","  ","544","  ","921","  ","1642","  ","2700","  ","3633","  ","3307","  ",
"Nebraska","25842","  ","29043","  ","35560","  ","2356","  ","1013","  ","730","  ","657","  ","704","  ","894","  ","1354","  ","2295","  ","3457","  ","5397","  ","6986","  ","34663","  ","5620","  ","2921","  ","1081","  ","683","  ","695","  ","809","  ","971","  ","1343","  ","2137","  ","4219","  ","6971","  ","7214","  ","42147","  ","6587","  ","4644","  ","1447","  ","811","  ","730","  ","791","  ","938","  ","1713","  ","2959","  ","5589","  ","7612","  ","8326","  ",
"Nevada","31633","  ","29686","  ","29676","  ","2832","  ","1772","  ","1359","  ","1183","  ","1243","  ","1486","  ","1952","  ","2449","  ","3452","  ","5542","  ","8364","  ","37029","  ","7344","  ","4218","  ","1449","  ","1228","  ","1189","  ","1120","  ","1497","  ","1901","  ","2366","  ","3384","  ","4287","  ","7046","  ","35135","  ","5459","  ","3016","  ","1556","  ","1206","  ","1168","  ","1257","  ","1438","  ","1824","  ","2585","  ","3533","  ","5205","  ","6886","  ",
"New Hampshire","5795","  ","6958","  ","6683","  ","723","  ","239","  ","158","  ","133","  ","134","  ","173","  ","307","  ","626","  ","831","  ","1136","  ","1334","  ","7842","  ","884","  ","680","  ","251","  ","153","  ","146","  ","151","  ","186","  ","244","  ","596","  ","1197","  ","1665","  ","1691","  ","7755","  ","1072","  ","795","  ","338","  ","172","  ","138","  ","142","  ","217","  ","454","  ","535","  ","1207","  ","1210","  ","1476","  ",
"New Jersey","182333","  ","214928","  ","215284","  ","19022","  ","9042","  ","4785","  ","4501","  ","5901","  ","6524","  ","10990","  ","18208","  ","24355","  ","35568","  ","43438","  ","237104","  ","22176","  ","16145","  ","8928","  ","4507","  ","4589","  ","5481","  ","6160","  ","8995","  ","21273","  ","41241","  ","50550","  ","47059","  ","247742","  ","32458","  ","24417","  ","8303","  ","5091","  ","4865","  ","5388","  ","6079","  ","9581","  ","18446","  ","38911","  ","44067","  ","50138","  ",
"New Mexico","26745","  ","26923","  ","26841","  ","3074","  ","1217","  ","937","  ","776","  ","841","  ","1087","  ","1549","  ","2184","  ","3349","  ","4976","  ","6754","  ","33130","  ","6207","  ","3759","  ","1247","  ","829","  ","840","  ","808","  ","1262","  ","1572","  ","1919","  ","3422","  ","5014","  ","6249","  ","32374","  ","5533","  ","3445","  ","1275","  ","835","  ","908","  ","936","  ","1043","  ","1507","  ","2292","  ","3519","  ","4764","  ","6317","  ",
"New York","352324","  ","407848","  ","395682","  ","38700","  ","18644","  ","9617","  ","9441","  ","10979","  ","13039","  ","22528","  ","37670","  ","48649","  ","67663","  ","75393","  ","452148","  ","44300","  ","33879","  ","20673","  ","10201","  ","10144","  ","10330","  ","13068","  ","18250","  ","36469","  ","74728","  ","91104","  ","89003","  ","458313","  ","62632","  ","45075","  ","16260","  ","11117","  ","9683","  ","10686","  ","12363","  ","26165","  ","38643","  ","70836","  ","74901","  ","79952","  ",
"North Carolina","52020","  ","57687","  ","62638","  ","6352","  ","1732","  ","1096","  ","1054","  ","1055","  ","1231","  ","1670","  ","3327","  ","5172","  ","13015","  ","16316","  ","64523","  ","6836","  ","6169","  ","2737","  ","1092","  ","1214","  ","1016","  ","1123","  ","1308","  ","2814","  ","7387","  ","17363","  ","15464","  ","75178","  ","12540","  ","9724","  ","2037","  ","1133","  ","973","  ","1120","  ","934","  ","1320","  ","3272","  ","11130","  ","11969","  ","19026","  ",
"North Dakota","7995","  ","8854","  ","10757","  ","875","  ","635","  ","220","  ","177","  ","164","  ","183","  ","378","  ","778","  ","1086","  ","1524","  ","1975","  ","10552","  ","1698","  ","1060","  ","509","  ","199","  ","209","  ","168","  ","205","  ","447","  ","720","  ","1277","  ","2055","  ","2006","  ","12505","  ","1749","  ","1660","  ","625","  ","273","  ","181","  ","183","  ","248","  ","506","  ","1007","  ","1662","  ","2152","  ","2260","  ",
"Ohio","210095","  ","254580","  ","275509","  ","23488","  ","10407","  ","4734","  ","4832","  ","4251","  ","4876","  ","10529","  ","21466","  ","26937","  ","44213","  ","54362","  ","285306","  ","30726","  ","22078","  ","12188","  ","4677","  ","4717","  ","5012","  ","6095","  ","9819","  ","22267","  ","47720","  ","61207","  ","58799","  ","320568","  ","45059","  ","31696","  ","13581","  ","6185","  ","4860","  ","5156","  ","6255","  ","10181","  ","19967","  ","48571","  ","58508","  ","70548","  ",
"Oklahoma","39977","  ","50052","  ","59840","  ","3903","  ","1774","  ","1334","  ","1214","  ","1160","  ","1409","  ","1811","  ","2441","  ","4745","  ","7832","  ","12354","  ","59387","  ","9335","  ","5700","  ","1814","  ","1240","  ","1227","  ","1204","  ","1327","  ","1936","  ","2647","  ","6954","  ","12791","  ","13212","  ","69050","  ","9210","  ","3198","  ","1361","  ","1161","  ","1150","  ","1243","  ","1540","  ","2558","  ","6476","  ","11579","  ","14744","  ","14830","  ",
"Oregon","31714","  ","30295","  ","34767","  ","4096","  ","2827","  ","1226","  ","890","  ","1005","  ","1173","  ","1648","  ","2280","  ","4595","  ","4943","  ","7032","  ","37257","  ","6962","  ","5748","  ","1772","  ","1195","  ","825","  ","844","  ","968","  ","1703","  ","3258","  ","3543","  ","4187","  ","6251","  ","41185","  ","6418","  ","5703","  ","1779","  ","970","  ","894","  ","979","  ","1213","  ","1459","  ","3197","  ","4412","  ","6749","  ","7412","  ",
"Pennsylvania","183716","  ","211147","  ","217487","  ","21335","  ","9168","  ","4331","  ","4094","  ","4264","  ","5242","  ","9866","  ","17384","  ","23082","  ","38618","  ","46333","  ","235635","  ","24488","  ","18219","  ","11556","  ","4796","  ","4062","  ","4148","  ","5380","  ","7625","  ","17156","  ","37960","  ","51850","  ","48396","  ","254816","  ","37330","  ","25074","  ","9532","  ","4770","  ","4251","  ","4150","  ","5014","  ","8707","  ","17444","  ","39581","  ","45671","  ","53292","  ",
"Rhode Island","14546","  ","18090","  ","17062","  ","1804","  ","932","  ","370","  ","242","  ","276","  ","335","  ","767","  ","1541","  ","1991","  ","2872","  ","3416","  ","20042","  ","1952","  ","1632","  ","1063","  ","391","  ","404","  ","437","  ","498","  ","577","  ","1426","  ","3296","  ","4154","  ","4211","  ","19724","  ","2662","  ","2030","  ","499","  ","473","  ","395","  ","427","  ","583","  ","667","  ","2332","  ","2946","  ","3047","  ","3664","  ",
"South Carolina","22343","  ","24397","  ","26785","  ","2633","  ","733","  ","504","  ","487","  ","450","  ","502","  ","723","  ","1408","  ","2293","  ","5713","  ","6899","  ","27417","  ","3019","  ","2374","  ","1032","  ","549","  ","513","  ","502","  ","496","  ","687","  ","1066","  ","3183","  ","7065","  ","6930","  ","31904","  ","5119","  ","4224","  ","836","  ","490","  ","476","  ","453","  ","472","  ","676","  ","1580","  ","4487","  ","4995","  ","8096","  ",
"South Dakota","9246","  ","9735","  ","12015","  ","908","  ","526","  ","242","  ","212","  ","198","  ","232","  ","529","  ","983","  ","1317","  ","1785","  ","2314","  ","11751","  ","2016","  ","1174","  ","478","  ","228","  ","219","  ","190","  ","278","  ","508","  ","783","  ","1358","  ","2162","  ","2357","  ","14213","  ","2197","  ","1724","  ","718","  ","330","  ","220","  ","193","  ","286","  ","545","  ","1001","  ","1862","  ","2414","  ","2722","  ",
"Tennessee","49616","  ","59594","  ","66025","  ","4681","  ","1503","  ","1088","  ","974","  ","1070","  ","1234","  ","1772","  ","3312","  ","5827","  ","12089","  ","16067","  ","67301","  ","7707","  ","4810","  ","1967","  ","1155","  ","995","  ","1033","  ","1201","  ","1606","  ","3087","  ","9120","  ","18019","  ","16601","  ","78395","  ","12369","  ","8372","  ","2308","  ","1239","  ","1163","  ","1152","  ","1191","  ","1868","  ","4088","  ","10222","  ","14673","  ","19749","  ",
"Texas","146378","  ","183338","  ","202790","  ","9476","  ","6231","  ","5355","  ","5374","  ","5948","  ","7068","  ","7366","  ","11575","  ","16582","  ","30037","  ","41366","  ","211370","  ","28032","  ","11027","  ","6334","  ","5401","  ","4874","  ","6479","  ","6360","  ","6857","  ","10986","  ","34512","  ","36889","  ","53619","  ","234520","  ","31730","  ","14635","  ","6881","  ","5951","  ","5661","  ","6188","  ","6977","  ","8855","  ","15627","  ","30199","  ","45335","  ","56481","  ",
"Utah","50684","  ","46215","  ","52809","  ","6350","  ","2973","  ","1778","  ","1363","  ","1710","  ","1460","  ","2988","  ","4442","  ","6215","  ","9011","  ","12393","  ","58562","  ","12346","  ","8345","  ","2015","  ","1329","  ","1555","  ","1634","  ","1958","  ","3129","  ","4515","  ","5112","  ","6449","  ","10176","  ","62458","  ","9648","  ","8191","  ","3046","  ","1602","  ","1298","  ","1746","  ","2241","  ","3941","  ","4143","  ","7302","  ","7635","  ","11664","  ",
"Vermont","2862","  ","3432","  ","3320","  ","313","  ","143","  ","84","  ","74","  ","89","  ","109","  ","196","  ","357","  ","380","  ","541","  ","576","  ","3833","  ","402","  ","294","  ","168","  ","81","  ","74","  ","89","  ","107","  ","156","  ","367","  ","610","  ","760","  ","725","  ","3826","  ","507","  ","349","  ","158","  ","96","  ","79","  ","82","  ","96","  ","175","  ","354","  ","617","  ","608","  ","706","  ",
"Virginia","63870","  ","77312","  ","78277","  ","6535","  ","2887","  ","1452","  ","1346","  ","1403","  ","2054","  ","3072","  ","5427","  ","8183","  ","14331","  ","17179","  ","85464","  ","8151","  ","6455","  ","3540","  ","1903","  ","1475","  ","1526","  ","1649","  ","2226","  ","4750","  ","13596","  ","20861","  ","19331","  ","92817","  ","14540","  ","9971","  ","2843","  ","1623","  ","1533","  ","1488","  ","1698","  ","2489","  ","5389","  ","14439","  ","16176","  ","20627","  ",
"Washington","60186","  ","59475","  ","66968","  ","7828","  ","5538","  ","2548","  ","1779","  ","1853","  ","2296","  ","3165","  ","4151","  ","8883","  ","9250","  ","12895","  ","71952","  ","12477","  ","11223","  ","4202","  ","2615","  ","1638","  ","1701","  ","1916","  ","3105","  ","5975","  ","7229","  ","8084","  ","11788","  ","78750","  ","11782","  ","11480","  ","3689","  ","2089","  ","1722","  ","1916","  ","2360","  ","3390","  ","5843","  ","8911","  ","12665","  ","12903","  ",
"West Virginia","19413","  ","22359","  ","24328","  ","2299","  ","896","  ","366","  ","326","  ","367","  ","375","  ","735","  ","1808","  ","2668","  ","4221","  ","5352","  ","24807","  ","2449","  ","2120","  ","1235","  ","385","  ","337","  ","243","  ","416","  ","668","  ","1631","  ","4563","  ","5640","  ","5121","  ","28257","  ","3929","  ","3249","  ","1147","  ","517","  ","360","  ","360","  ","466","  ","913","  ","1972","  ","4484","  ","4950","  ","5909","  ",
"Wisconsin","100087","  ","110405","  ","130998","  ","10265","  ","5535","  ","2379","  ","2103","  ","2338","  ","2581","  ","5006","  ","11130","  ","14251","  ","19744","  ","24754","  ","126854","  ","16449","  ","11077","  ","6091","  ","2502","  ","2310","  ","2478","  ","2481","  ","4550","  ","9496","  ","16213","  ","27502","  ","25705","  ","150409","  ","19411","  ","18409","  ","7477","  ","3365","  ","2397","  ","2642","  ","3251","  ","5305","  ","11561","  ","20074","  ","25727","  ","30789","  ",
"Wyoming","9249","  ","9299","  ","11200","  ","1158","  ","597","  ","333","  ","238","  ","228","  ","276","  ","713","  ","947","  ","1315","  ","1509","  ","1935","  ","11576","  ","2277","  ","1489","  ","437","  ","300","  ","199","  ","244","  ","410","  ","731","  ","888","  ","1177","  ","1457","  ","1966","  ","13269","  ","2069","  ","1831","  ","737","  ","386","  ","241","  ","262","  ","314","  ","699","  ","1101","  ","1552","  ","2032","  ","2045","  ",
" Total","3590587","  ","4019135","  ","4370564","  ","385328","  ","189236","  ","110973","  ","101712","  ","107660","  ","123606","  ","195589","  ","330226","  ","458485","  ","698340","  ","889433","  ","4609670","  ","590535","  ","406355","  ","201405","  ","108401","  ","102770","  ","108073","  ","123975","  ","177453","  ","319134","  ","632699","  ","901656","  ","937215","  ","5087471","  ","716907","  ","543538","  ","212079","  ","121736","  ","105187","  ","112785","  ","125596","  ","203456","  ","356142","  ","699921","  ","852927","  ","1037197","  ",
