"Finished motor gasoline and distillate fuel oil production, 2011",,,,,,,,,,,,,,,
million barrels per day ,,,,,,,,,,,,,,,
,,Motor Gasoline Production Data,,,,,,,,Distillate Production Data,,,,,
Wk #,Date,2006,2007,2008,2009,2010,2011,,Date,2006,2007,2008,2009,2010,2011
1,1/4,8.617,9.19,9.116,9.115,9.071,8.725497523,,1/4,4.217,4.446,4.489,4.55,3.809,4.462301674
2,1/11,8.632,9.113,8.978,8.813,8.511,8.867475098,,1/11,3.905,4.001,4.257,4.666,3.855,4.352971283
3,1/18,8.669,9.106,8.965,8.729,8.565,8.815308812,,1/18,3.914,3.948,4.104,4.153,3.483,4.271462601
4,1/25,8.664,9.087,8.887,8.66,8.636,8.826972314,,1/25,3.869,3.968,3.894,4.17,3.516,4.181992874
5,2/1,8.554,9.013,8.739,8.679,8.584,9.076236844,,2/1,3.895,3.963,4.037,4.169,3.484,4.262281331
6,2/8,8.526,8.907,8.909,8.492,8.807,9.168841866,,2/8,3.778,4.08,4.091,4.142,3.413,4.01166648
7,2/15,8.484,8.64,8.84,8.765,8.428,9.143277982,,2/15,3.786,3.839,4.01,4.147,3.433,3.979264616
8,2/22,8.35,8.668,8.778,8.937,8.863,9.225738836,,2/22,3.836,3.947,3.888,4.213,3.591,4.10552823
9,2/29,8.28,8.59,9.042,9.003,8.831,9.026364469,,2/29,3.738,4.024,4.005,4.088,3.812,4.071734789
10,3/7,8.389,8.741,9.03,8.539,8.758,8.743998523,,3/7,3.685,3.912,3.891,4.243,3.655,4.115046085
11,3/14,8.112,8.803,8.678,8.868,8.961,9.025759461,,3/14,3.817,4.145,3.811,4.094,3.791,4.31824902
12,3/21,8.257,8.928,8.539,8.723,9.024,8.696271662,,3/21,3.584,4.047,3.858,3.713,3.7,4.232917747
13,3/28,8.134,8.773,8.608,8.733,9.036,8.810254223,,3/28,3.492,4.05,3.856,3.882,3.575,4.306707032
14,4/4,7.866,8.531,8.896,8.966,9.092,8.970427681,,4/4,3.571,4.239,3.99,3.918,4.042,4.053654031
15,4/11,8.095,8.664,8.841,8.913,9.248,9.167682463,,4/11,3.601,4.217,4.029,3.951,3.962,4.161407571
16,4/18,8.47,8.536,8.867,9.088,9.396,8.841227443,,4/18,3.794,4.117,4.116,4.136,4.057,4.058386832
17,4/25,8.595,8.777,8.964,8.79,9.205,8.825735095,,4/25,3.855,4.09,4.238,4.153,4.163,4.195587903
18,5/2,8.918,8.931,8.677,8.918,9.143,8.875662599,,5/2,4.041,4.206,4.239,4.207,4.151,4.183162157
19,5/9,9.177,9.053,8.904,8.71,8.962,9.130833176,,5/9,3.921,4.121,4.352,4.13,4.294,4.013705211
20,5/16,9.196,9.203,9.028,8.735,9.231,9.259237121,,5/16,4.083,4.18,4.344,4.132,4.213,4.261177455
21,5/23,9.208,9.258,9.098,9.378,9.011,9.432751283,,5/23,4.064,4.294,4.315,4.036,4.18,4.255102659
22,5/30,9.137,9.222,9.113,8.797,9.16,9.446306661,,5/30,4.109,4.258,4.506,4.052,4.334,4.433867043
23,6/6,9.209,9.326,8.974,8.951,9.223187231,9.468892459,,6/6,4.155,4.078,4.475,3.933,4.379333043,4.318118274
24,6/13,9.35,9.328,8.965,9.131,9.385018176,9.541466631,,6/13,4.182,3.991,4.439,3.915,4.281728615,4.319012113
25,6/20,9.327,9.342,9.057,9.224,9.262281518,9.096650919,,6/20,4.226,3.99,4.588,4.069,4.312852761,4.36343549
26,6/27,9.207,9.402,9.039,9.241,9.373691954,9.528868219,,6/27,4.164,4.01,4.571,4.184,4.375925866,4.446548466
27,7/4,9.176,9.229,8.929,9.254,9.366738459,8.89831175,,7/4,4.352,4.01,4.641,4.03,4.355630457,4.492722952
28,7/11,9.228,9.165,9.057,8.956,9.508295136,9.242228391,,7/11,4.249,3.98,4.736,4.034,4.45886571,4.577969417
29,7/18,9.09,9.271,9.21,9.236,9.315003637,9.190353582,,7/18,3.839,4.133,4.625,4.052,4.509017579,4.558894945
30,7/25,9.037,9.429,9.045,8.977,9.64800154,9.145752195,,7/25,3.834,4.327,4.724,3.987,4.347498175,4.628897559
31,8/1,9.169,9.151,9.061,9.075,9.414587364,9.533153973,,8/1,3.815,4.098,4.63,3.798,4.350233188,4.520223785
32,8/8,9.242,9.271,8.852,8.86,9.291210683,9.323843569,,8/8,3.896,4.1,4.341,3.823,4.341838597,4.551228783
33,8/15,9.269,9.287,9.065,8.899,9.445787238,9.343105024,,8/15,4.058,4.206,4.405,3.805,4.244437608,4.681089889
34,8/22,9.141,9.086,9.151,9.019,9.619125885,9.583518044,,8/22,4.215,4.158,4.395,4.001,4.394332091,4.706854328
35,8/29,9.231,9.157,9.446,9.157,9.305741669,9.161082878,,8/29,4.274,4.317,4.518,4.12,4.302171597,4.546566186
36,9/5,9.073,8.911,8.398,9.24,9.49495054,9.355802153,,9/5,4.466,4.13,3.921,4.143,4.300587123,4.493038427
37,9/12,9.156,9.07,8.326,9.032,9.174852562,9.077865709,,9/12,4.385,4.105,3.8,4.16,4.367347992,4.472533241
38,9/19,9.26,8.722,7.954,8.886,9.019664584,9.2791554,,9/19,4.249,4.131,3.258,4.173,4.303999848,4.558598782
39,9/26,8.902,8.698,8.69,9.098,9.158928711,9.286173089,,9/26,4.178,4.074,3.678,3.937,4.290739771,4.667038333
40,10/3,8.878,8.932,8.936,9.417,8.769370832,8.914255682,,10/3,3.984,4.171,4.029,4.042,4.15180486,4.413684883
41,10/10,8.901,8.864,9.164,8.453,8.727115204,9.312874149,,10/10,3.85,4.172,4.184,3.876,4.248121001,4.378982627
42,10/17,8.687,8.998,8.961,8.457,9.045695556,8.936095126,,10/17,4.081,3.946,4.439,3.893,4.242658977,4.403142594
43,10/24,8.763,8.917,8.848,8.834,9.214029405,9.081790765,,10/24,4.182,4.115,4.432,3.786,4.381485768,4.653026555
44,10/31,8.73,8.893,9.11,9.04,8.980981885,8.814672874,,10/31,4.005,4.17,4.389,3.957,4.240722201,4.311714821
45,11/7,8.679,8.895,9.024,8.919,9.011403921,9.135038503,,11/7,4.013,4.217,4.371,4.054,4.241273131,4.749604573
46,11/14,8.699,8.964,8.816,9.056,8.93232867,9.470496624,,11/14,4.081,4.18,4.41,4.031,4.310884705,4.771898765
47,11/21,8.856,9.02,8.962,9.184,8.943261419,9.188149106,,11/21,4.042,4.302,4.609,3.979,4.373845971,4.826745326
48,11/28,9.167,9.092,8.716,9.025,8.794803163,9.127404814,,11/28,4.173,4.345,4.314,3.904,4.304713064,5.032294934
49,12/5,9.283,9.155,8.999,9.163,9.395915985,9.543948747,,12/5,4.038,4.234,4.654,3.994,4.493368293,4.975891462
50,12/12,9.341,9.112,9.199,9.097,9.335259949,9.389560096,,12/12,4.223,4.315,4.617,3.726,4.545827868,5.008153828
51,12/19,9.369,9.004,9.09,8.963,9.457182885,9.401582976,,12/19,4.254,4.294,4.404,3.806,4.629939284,4.881872895
52,12/26,9.326,9.07,8.939,9.028,9.280941856,8.935880861,,12/26,4.311,4.275,4.542,3.71,4.657118737,4.832097473
